FILE,PAGE,DRAW,DRAW_L,LINE_HW,LINE_P,LINE_T,PHOTO,PHOTO_L,TEXT,TEXT_HW,TEXT_P,TEXT_T
CTX198100806,21,0.033,0.047,0.032,0.069,0.008,0.282,0.487,0.009,0.012,0.015,0.007
CTX195401407,1,0.033,0.034,0.057,0.287,0.182,0.041,0.055,0.053,0.013,0.106,0.14
CTX197703235,1,0.03,0.019,0.07,0.11,0.044,0.091,0.031,0.273,0.06,0.153,0.117
CTX201001607,193,0.026,0.035,0.091,0.333,0.029,0.115,0.15,0.025,0.028,0.117,0.052
CTX197408817,247,0.024,0.095,0.316,0.292,0.07,0.01,0.106,0.025,0.038,0.01,0.014
CTX193201713,1,0.016,0.009,0.14,0.047,0.021,0.033,0.017,0.21,0.336,0.08,0.092
CTX195701276,1,0.014,0.02,0.069,0.153,0.014,0.215,0.485,0.007,0.006,0.01,0.007
CTX195801326,1,0.012,0.011,0.078,0.108,0.079,0.031,0.02,0.187,0.071,0.126,0.276
CTX192800195,1,0.01,0.021,0.319,0.089,0.038,0.022,0.047,0.142,0.226,0.041,0.047
CTX198002297,1,0.009,0.015,0.225,0.089,0.052,0.014,0.021,0.218,0.198,0.065,0.094
CTX193700040,1,0.009,0.003,0.064,0.019,0.004,0.039,0.006,0.357,0.411,0.06,0.028
CTX194103122,1,0.007,0.013,0.186,0.401,0.065,0.092,0.167,0.011,0.012,0.029,0.016
CTX193300924,1,0.007,0.008,0.095,0.033,0.023,0.006,0.005,0.249,0.306,0.074,0.194
CTX194300888,18,0.006,0.007,0.028,0.098,0.024,0.214,0.221,0.087,0.046,0.159,0.109
CTX201004072,73,0.005,0.02,0.096,0.387,0.321,0.006,0.08,0.001,0.002,0.018,0.064
CTX199500117,1,0.005,0.012,0.432,0.061,0.05,0.004,0.021,0.066,0.307,0.011,0.032
CTX193001304,1,0.005,0.009,0.183,0.038,0.006,0.006,0.007,0.189,0.514,0.03,0.013
CTX198303113,1,0.005,0.008,0.262,0.049,0.028,0.006,0.01,0.132,0.433,0.032,0.034
CTX201004072,104,0.005,0.006,0.034,0.202,0.102,0.052,0.032,0.193,0.028,0.244,0.103
CTX196407192,76,0.004,0.029,0.439,0.122,0.046,0.008,0.164,0.038,0.13,0.006,0.013
CTX196001290,23,0.004,0.024,0.154,0.347,0.188,0.01,0.088,0.035,0.02,0.057,0.074
CTX199805567,624,0.004,0.014,0.042,0.193,0.067,0.019,0.072,0.155,0.029,0.229,0.178
CTX193201748,49,0.004,0.005,0.0,0.001,0.0,0.533,0.456,0.0,0.0,0.0,0.0
CTX195500114,1,0.004,0.004,0.236,0.048,0.021,0.005,0.007,0.184,0.39,0.04,0.061
CTX193601434,1,0.004,0.002,0.01,0.018,0.003,0.032,0.013,0.683,0.09,0.119,0.026
CTX199603908,1,0.003,0.011,0.42,0.17,0.12,0.003,0.019,0.064,0.095,0.029,0.066
CTX197002153,11,0.003,0.007,0.097,0.252,0.148,0.01,0.035,0.093,0.047,0.135,0.173
CTX194606420,1,0.003,0.007,0.067,0.311,0.164,0.035,0.138,0.028,0.015,0.081,0.152
CTX201750154,1,0.003,0.003,0.124,0.01,0.014,0.005,0.007,0.152,0.583,0.012,0.087
CTX193801636,188,0.003,0.003,0.105,0.028,0.039,0.009,0.007,0.047,0.477,0.074,0.209
CTX201004072,26,0.003,0.003,0.011,0.04,0.079,0.007,0.006,0.065,0.029,0.177,0.581
CTX198100806,2,0.003,0.002,0.037,0.106,0.064,0.03,0.016,0.162,0.042,0.244,0.294
CTX194301332,7,0.003,0.002,0.031,0.121,0.113,0.009,0.011,0.057,0.026,0.193,0.434
CTX198102153,1,0.003,0.002,0.029,0.071,0.137,0.014,0.01,0.089,0.03,0.142,0.472
CTX193601098,1,0.003,0.001,0.025,0.013,0.002,0.03,0.008,0.491,0.348,0.062,0.016
CTX195100667,117,0.002,0.027,0.33,0.274,0.134,0.001,0.065,0.065,0.039,0.024,0.039
CTX195705013,73,0.002,0.012,0.498,0.048,0.018,0.007,0.043,0.081,0.271,0.007,0.013
CTX201404706,480,0.002,0.008,0.399,0.197,0.106,0.009,0.039,0.041,0.118,0.028,0.052
CTX199805567,251,0.002,0.008,0.051,0.082,0.606,0.0,0.004,0.006,0.008,0.013,0.22
CTX194203019B,6,0.002,0.008,0.031,0.173,0.128,0.012,0.05,0.091,0.023,0.193,0.289
CTX199104202,1,0.002,0.005,0.064,0.348,0.28,0.018,0.042,0.023,0.005,0.106,0.108
CTX199400628,1,0.002,0.004,0.06,0.166,0.171,0.011,0.034,0.066,0.033,0.144,0.31
CTX199806732,1,0.002,0.003,0.066,0.278,0.234,0.007,0.015,0.036,0.011,0.119,0.23
CTX193201748,16,0.002,0.002,0.199,0.013,0.009,0.009,0.007,0.145,0.593,0.011,0.009
CTX194102101,133,0.002,0.001,0.014,0.005,0.006,0.012,0.003,0.536,0.231,0.063,0.127
CTX194203019B,10,0.002,0.001,0.008,0.053,0.024,0.058,0.018,0.104,0.033,0.316,0.381
CTX199805567,534,0.001,0.013,0.049,0.439,0.292,0.004,0.104,0.006,0.002,0.041,0.048
CTX197005669,57,0.001,0.007,0.097,0.391,0.334,0.005,0.072,0.003,0.006,0.02,0.062
CTX194604274,16,0.001,0.004,0.472,0.085,0.032,0.001,0.007,0.069,0.31,0.01,0.01
CTX201004072,85,0.001,0.004,0.072,0.368,0.43,0.008,0.051,0.001,0.001,0.013,0.05
CTX198901592,327,0.001,0.004,0.047,0.233,0.51,0.003,0.034,0.002,0.003,0.023,0.139
CTX195902663,135,0.001,0.004,0.025,0.187,0.277,0.006,0.023,0.011,0.008,0.086,0.372
CTX195906334,125,0.001,0.003,0.124,0.283,0.266,0.014,0.032,0.018,0.026,0.067,0.166
CTX198004861,22,0.001,0.003,0.048,0.352,0.258,0.004,0.029,0.016,0.009,0.107,0.174
CTX194607858,37,0.001,0.002,0.256,0.071,0.031,0.008,0.026,0.245,0.277,0.04,0.043
CTX198901592,391,0.001,0.002,0.083,0.166,0.185,0.003,0.011,0.055,0.045,0.129,0.32
CTX194201336,260,0.001,0.002,0.068,0.218,0.184,0.019,0.031,0.045,0.025,0.13,0.276
CTX194901219,1,0.001,0.001,0.108,0.199,0.112,0.023,0.016,0.139,0.053,0.143,0.205
CTX198703301,1,0.001,0.001,0.051,0.044,0.022,0.007,0.006,0.367,0.193,0.163,0.146
CTX193701944A,10,0.001,0.001,0.045,0.013,0.005,0.001,0.001,0.467,0.412,0.031,0.023
CTX193702004,1,0.001,0.001,0.042,0.026,0.021,0.004,0.003,0.493,0.182,0.077,0.151
CTX198801502,1,0.001,0.001,0.038,0.052,0.019,0.004,0.005,0.342,0.195,0.154,0.189
CTX195906334,105,0.001,0.001,0.014,0.074,0.034,0.01,0.011,0.136,0.048,0.341,0.331
CTX201404706,439,0.001,0.001,0.009,0.074,0.025,0.006,0.006,0.067,0.029,0.48,0.301
CTX197803014,1,0.001,0.001,0.009,0.029,0.034,0.01,0.005,0.264,0.063,0.304,0.281
CTX197006330,6,0.001,0.001,0.008,0.064,0.055,0.009,0.008,0.072,0.019,0.26,0.502
CTX193801636,159,0.001,0.001,0.004,0.017,0.009,0.011,0.008,0.253,0.071,0.346,0.278
CTX200409047,1,0.001,0.001,0.003,0.007,0.001,0.007,0.003,0.557,0.12,0.24,0.059
CTX197402830,248,0.0,0.002,0.047,0.189,0.178,0.003,0.01,0.054,0.032,0.143,0.342
CTX199904249,153,0.0,0.002,0.046,0.38,0.357,0.002,0.01,0.004,0.002,0.064,0.133
CTX196706503,14,0.0,0.002,0.044,0.23,0.269,0.004,0.018,0.022,0.016,0.137,0.26
CTX197408817,65,0.0,0.002,0.036,0.456,0.29,0.003,0.041,0.009,0.002,0.074,0.086
CTX199904249,631,0.0,0.001,0.053,0.222,0.402,0.002,0.007,0.008,0.004,0.083,0.219
CTX199604924A,69,0.0,0.001,0.034,0.442,0.329,0.004,0.015,0.003,0.001,0.065,0.107
CTX196306858,246,0.0,0.001,0.031,0.044,0.06,0.002,0.003,0.21,0.086,0.136,0.425
CTX199805567,311,0.0,0.001,0.013,0.089,0.16,0.002,0.007,0.024,0.01,0.16,0.534
CTX194707363,30,0.0,0.001,0.013,0.073,0.035,0.004,0.007,0.184,0.062,0.384,0.236
CTX199908716,1,0.0,0.001,0.011,0.106,0.023,0.008,0.009,0.045,0.024,0.52,0.253
CTX196504419,1,0.0,0.0,0.037,0.007,0.004,0.001,0.0,0.201,0.658,0.034,0.058
CTX193401762,12,0.0,0.0,0.023,0.003,0.001,0.0,0.0,0.215,0.728,0.018,0.012
CTX192700593,40,0.0,0.0,0.02,0.007,0.001,0.0,0.0,0.215,0.664,0.074,0.018
CTX199807156,5,0.0,0.0,0.006,0.035,0.028,0.009,0.005,0.101,0.029,0.291,0.495
CTX194102101,59,0.0,0.0,0.006,0.016,0.007,0.002,0.001,0.492,0.067,0.255,0.155
CTX193801636,72,0.0,0.0,0.004,0.006,0.002,0.011,0.004,0.492,0.152,0.212,0.117
CTX193100253,29,0.0,0.0,0.003,0.014,0.01,0.007,0.003,0.251,0.071,0.389,0.251
CTX201001607,34,0.0,0.0,0.002,0.025,0.006,0.002,0.001,0.164,0.029,0.563,0.207
CTX199805567,337,0.0,0.0,0.002,0.008,0.007,0.006,0.001,0.157,0.054,0.308,0.455
