FILE,PAGE,V1.3,V2.3,V3.3,V4.3,V5.3,CLASS-1,SCORE-1,CLASS-2,SCORE-2,CLASS-3,SCORE-3
CTX198203783,2,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9996,DRAW_L,0.0002,,
CTX198204640,11,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.999,TEXT_P,0.0006000000000000001,LINE_T,0.0004
CTX198204836A,28,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9996,DRAW_L,0.0004,,
CTX198204879U,16,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9996,DRAW_L,0.0004,,
CTX198205051A,35,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX198301331,1,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,LINE_T,1.0,,,,
CTX198302416A,39,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9843999999999999,LINE_P,0.010600000000000002,TEXT_P,0.0044
CTX198303576,67,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX198303943,24,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9992000000000001,TEXT_P,0.0004,,
CTX198400690,46,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9992000000000001,LINE_HW,0.0006000000000000001,LINE_T,0.0002
CTX198401742,21,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX198401888C,54,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,0.9530000000000001,LINE_T,0.0378,DRAW_L,0.0094
CTX198500395,2,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX198500722,14,LINE_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.7766,LINE_T,0.2136,LINE_P,0.0102
CTX198502518,107,LINE_T,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P,0.7996000000000001,LINE_T,0.1996,TEXT_P,0.0008
CTX198503645,176,DRAW_L,DRAW_L,DRAW_L,DRAW_L,DRAW_L,DRAW_L,0.9992000000000001,DRAW,0.0006000000000000001,PHOTO_L,0.0002
CTX198600325,16,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX198601116,5,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9997999999999999,,,,
CTX198602814,2,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX198603688,3,TEXT_T,TEXT_T,TEXT_P,TEXT_T,TEXT_P,TEXT_T,0.5908,TEXT_P,0.3908,TEXT,0.0184
CTX198604498,67,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9982,TEXT_P,0.0014,TEXT_HW,0.0004
CTX198701191B,56,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX198702346,80,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.968,TEXT_P,0.0234,LINE_T,0.0082
CTX198703227,27,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9997999999999999,TEXT,0.0002,,
CTX198703768,154,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX198704035,10,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX198800453,29,DRAW,DRAW,DRAW,DRAW,DRAW,DRAW,1.0,,,,
CTX198801584,1,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,1.0,,,,
CTX198802097L,24,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX198802101A,26,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX198802104B,5,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.944,TEXT,0.0494,TEXT_P,0.0066
CTX198802104H,15,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO,1.0,,,,
CTX198802580,60,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T,0.9997999999999999,,,,
